Wavelength (nm),Sum(calc),Si I (3.4e-1),Si II (6.6e-1),Si III (3.0e-5)
217.55,2.382e-11,3.384e-12,4.672e-15,2.382e-11
217.57,3.387e-11,3.362e-12,4.651e-15,3.387e-11
217.6,5.248e-11,3.330e-12,4.619e-15,5.248e-11
217.62,6.581e-11,3.308e-12,4.597e-15,6.581e-11
217.65,8.310e-11,3.276e-12,4.565e-15,8.310e-11
217.67,9.011e-11,3.254e-12,4.544e-15,9.011e-11
217.7,9.055e-11,3.221e-12,4.512e-15,9.055e-11
217.72,8.387e-11,3.200e-12,4.490e-15,8.387e-11
217.75,6.619e-11,3.167e-12,4.458e-15,6.619e-11
217.77,5.206e-11,3.145e-12,4.437e-15,5.206e-11
217.8,3.213e-11,3.113e-12,4.405e-15,3.213e-11
217.82,2.154e-11,3.091e-12,4.383e-15,2.154e-11
217.85,1.095e-11,3.058e-12,4.351e-15,1.095e-11
217.87,7.287e-12,3.037e-12,4.330e-15,7.287e-12
217.89,6.039e-12,3.015e-12,4.308e-15,6.039e-12
217.92,8.321e-12,2.983e-12,4.276e-15,8.321e-12
217.94,1.258e-11,2.961e-12,4.255e-15,1.258e-11
217.97,2.307e-11,2.928e-12,4.223e-15,2.307e-11
217.99,3.244e-11,2.907e-12,4.201e-15,3.244e-11
218.02,4.831e-11,2.874e-12,4.169e-15,4.831e-11
218.04,5.850e-11,2.852e-12,4.148e-15,5.850e-11
218.07,7.035e-11,2.820e-12,4.116e-15,7.035e-11
218.09,7.490e-11,2.798e-12,4.094e-15,7.490e-11
218.12,7.651e-11,2.765e-12,4.062e-15,7.651e-11
218.14,7.477e-11,2.744e-12,4.041e-15,7.477e-11
218.17,6.933e-11,2.711e-12,4.009e-15,6.933e-11
218.19,6.428e-11,2.689e-12,3.987e-15,6.428e-11
218.22,5.476e-11,2.657e-12,3.955e-15,5.476e-11
218.24,4.721e-11,2.635e-12,3.934e-15,4.721e-11
218.26,3.903e-11,2.613e-12,3.912e-15,3.903e-11
218.29,2.670e-11,2.581e-12,3.880e-15,2.670e-11
218.31,1.933e-11,2.559e-12,3.859e-15,1.933e-11
218.34,1.063e-11,2.527e-12,3.827e-15,1.063e-11
218.36,6.593e-12,2.505e-12,3.805e-15,6.593e-12
218.39,2.852e-12,2.472e-12,3.773e-15,2.852e-12
218.41,1.503e-12,2.451e-12,3.752e-15,1.503e-12
218.44,5.073e-13,2.418e-12,3.720e-15,5.073e-13
218.46,2.263e-13,2.396e-12,3.698e-15,2.263e-13
218.49,5.947e-14,2.364e-12,3.666e-15,5.947e-14
218.51,2.244e-14,2.342e-12,3.645e-15,2.244e-14
218.54,4.584e-15,2.310e-12,3.613e-15,4.584e-15
218.56,1.462e-15,2.288e-12,3.591e-15,1.462e-15
218.59,2.323e-16,2.255e-12,3.559e-15,2.323e-16
218.61,6.264e-17,2.234e-12,3.538e-15,6.264e-17
218.64,7.733e-18,2.201e-12,3.506e-15,7.733e-18
218.66,1.763e-18,2.179e-12,3.484e-15,1.763e-18
218.68,3.766e-19,2.158e-12,3.463e-15,3.766e-19
218.71,4.211e-20,2.125e-12,3.431e-15,4.211e-20
218.73,5.137e-20,2.103e-12,3.409e-15,5.137e-20
218.76,4.205e-19,2.071e-12,3.377e-15,4.205e-19
