Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
306.36,1.678e-13,,1.678e-13,
306.39,1.124e-13,,1.124e-13,
306.41,9.870e-14,,9.870e-14,
306.44,1.082e-13,,1.082e-13,
306.46,1.321e-13,,1.321e-13,
306.49,1.905e-13,,1.905e-13,
306.51,2.415e-13,,2.415e-13,
306.53,2.990e-13,,2.990e-13,
306.56,3.894e-13,,3.894e-13,
306.58,4.458e-13,,4.458e-13,
306.61,5.127e-13,,5.127e-13,
306.63,5.395e-13,,5.395e-13,
306.66,5.464e-13,,5.464e-13,
306.68,5.282e-13,,5.282e-13,
306.71,4.709e-13,,4.709e-13,
306.73,4.180e-13,,4.180e-13,
306.76,3.280e-13,,3.280e-13,
306.78,2.674e-13,,2.674e-13,
306.81,1.847e-13,,1.847e-13,
306.83,1.383e-13,,1.383e-13,
306.86,8.409e-14,,8.409e-14,
306.88,5.784e-14,,5.784e-14,
306.91,3.101e-14,,3.101e-14,
306.93,1.970e-14,,1.970e-14,
306.95,1.227e-14,,1.227e-14,
306.98,6.451e-15,,6.451e-15,
307,5.332e-15,,5.332e-15,
307.03,7.885e-15,,7.885e-15,
307.05,1.358e-14,,1.358e-14,
307.08,3.299e-14,,3.299e-14,
307.1,5.839e-14,,5.839e-14,
307.13,1.297e-13,,1.297e-13,
307.15,2.119e-13,,2.119e-13,
307.18,4.154e-13,,4.154e-13,
307.2,6.236e-13,,6.236e-13,
307.23,1.076e-12,,1.076e-12,
307.25,1.485e-12,,1.485e-12,
307.28,2.258e-12,,2.258e-12,
307.3,2.863e-12,,2.863e-12,
307.33,3.838e-12,,3.838e-12,
307.35,4.478e-12,,4.478e-12,
307.37,5.058e-12,,5.058e-12,
307.4,5.739e-12,,5.739e-12,
307.42,6.044e-12,,6.044e-12,
307.45,6.346e-12,,6.346e-12,
307.47,6.576e-12,,6.576e-12,
307.5,7.412e-12,,7.412e-12,
307.52,8.714e-12,,8.714e-12,
307.55,1.281e-11,,1.281e-11,
307.57,1.774e-11,,1.774e-11,
307.6,2.998e-11,,2.998e-11,
307.62,4.224e-11,,4.224e-11,
307.65,6.789e-11,,6.789e-11,
307.67,8.998e-11,,8.998e-11,
307.7,1.295e-10,,1.295e-10,
307.72,1.584e-10,,1.584e-10,
307.75,2.015e-10,,2.015e-10,
307.77,2.268e-10,,2.268e-10,
307.79,2.470e-10,,2.470e-10,
307.82,2.635e-10,,2.635e-10,
307.84,2.639e-10,,2.639e-10,
307.87,2.487e-10,,2.487e-10,
307.89,2.294e-10,,2.294e-10,
307.92,1.914e-10,,1.914e-10,
307.94,1.631e-10,,1.631e-10,
307.97,1.212e-10,,1.212e-10,
307.99,9.597e-11,,9.597e-11,
308.02,6.437e-11,,6.437e-11,
308.04,4.792e-11,,4.792e-11,
