Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
207.75,8.830e-1,,8.593e-1,2.374e-2
207.77,2.287e+0,,2.247e+0,3.985e-2
207.8,8.348e+0,,8.273e+0,7.547e-2
207.82,1.809e+1,,1.798e+1,1.053e-1
207.85,5.032e+1,,5.017e+1,1.511e-1
207.87,9.083e+1,,9.065e+1,1.752e-1
207.9,1.919e+2,,1.917e+2,1.904e-1
207.92,2.880e+2,,2.879e+2,1.835e-1
207.95,4.614e+2,,4.612e+2,1.511e-1
207.97,5.759e+2,,5.758e+2,1.210e-1
208,6.992e+2,,6.991e+2,7.548e-2
208.02,7.255e+2,,7.255e+2,5.024e-2
208.05,6.676e+2,,6.675e+2,2.374e-2
208.07,5.758e+2,,5.758e+2,1.313e-2
208.1,4.015e+2,,4.015e+2,4.705e-3
208.12,2.879e+2,,2.879e+2,2.165e-3
208.14,1.917e+2,,1.917e+2,9.287e-4
208.17,9.065e+1,,9.065e+1,2.370e-4
208.19,5.017e+1,,5.017e+1,1.031e-4
208.22,1.798e+1,,1.798e+1,7.510e-5
208.24,8.273e+0,,8.273e+0,1.168e-4
208.27,2.248e+0,,2.247e+0,2.703e-4
208.29,8.603e-1,,8.598e-1,4.569e-4
208.32,1.804e-1,,1.795e-1,9.062e-4
208.34,6.435e-2,,6.302e-2,1.324e-3
208.37,3.710e-2,,3.503e-2,2.067e-3
208.39,6.585e-2,,6.330e-2,2.552e-3
208.42,2.089e-1,,2.059e-1,3.069e-3
208.44,4.629e-1,,4.598e-1,3.174e-3
208.47,1.570e+0,,1.567e+0,2.921e-3
208.49,3.574e+0,,3.572e+0,2.530e-3
208.51,8.040e+0,,8.038e+0,2.047e-3
208.54,2.546e+1,,2.546e+1,1.337e-3
208.56,5.155e+1,,5.155e+1,9.694e-4
208.59,1.323e+2,,1.323e+2,6.538e-4
208.61,2.278e+2,,2.278e+2,5.968e-4
208.64,4.512e+2,,4.512e+2,6.800e-4
208.66,6.504e+2,,6.504e+2,7.967e-4
208.69,9.818e+2,,9.818e+2,9.740e-4
208.71,1.179e+3,,1.179e+3,1.053e-3
208.74,1.353e+3,,1.353e+3,1.075e-3
208.76,1.353e+3,,1.353e+3,1.030e-3
208.79,1.179e+3,,1.179e+3,9.104e-4
208.81,9.810e+2,,9.810e+2,8.327e-4
208.84,6.491e+2,,6.491e+2,7.956e-4
208.86,4.496e+2,,4.496e+2,8.751e-4
208.89,2.259e+2,,2.259e+2,1.238e-3
208.91,1.302e+2,,1.302e+2,1.673e-3
208.93,6.977e+1,,6.976e+1,2.255e-3
208.96,2.385e+1,,2.385e+1,3.277e-3
208.98,1.066e+1,,1.066e+1,3.916e-3
209.01,2.856e+0,,2.852e+0,4.530e-3
209.03,1.217e+0,,1.213e+0,4.593e-3
209.06,6.908e-1,,6.867e-1,4.145e-3
209.08,9.223e-1,,9.187e-1,3.577e-3
209.11,1.910e+0,,1.908e+0,2.572e-3
209.13,3.173e+0,,3.171e+0,1.936e-3
209.16,6.795e+0,,6.794e+0,1.168e-3
209.18,1.124e+1,,1.124e+1,8.026e-4
209.21,2.312e+1,,2.312e+1,4.440e-4
209.23,3.586e+1,,3.586e+1,3.007e-4
209.26,6.320e+1,,6.320e+1,1.780e-4
209.28,8.571e+1,,8.571e+1,1.339e-4
209.3,1.090e+2,,1.090e+2,1.059e-4
209.33,1.376e+2,,1.376e+2,7.774e-5
209.35,1.473e+2,,1.473e+2,6.246e-5
209.38,1.426e+2,,1.426e+2,4.225e-5
209.4,1.276e+2,,1.276e+2,3.148e-5
209.43,9.428e+1,,9.428e+1,2.236e-5
209.45,7.036e+1,,7.036e+1,2.308e-5
209.48,3.957e+1,,3.957e+1,4.033e-5
209.5,2.461e+1,,2.461e+1,6.966e-5
209.53,1.053e+1,,1.053e+1,1.660e-4
209.55,5.459e+0,,5.459e+0,2.939e-4
209.58,1.777e+0,,1.777e+0,6.657e-4
209.6,7.684e-1,,7.672e-1,1.103e-3
209.63,1.921e-1,,1.899e-1,2.167e-3
209.65,7.153e-2,,6.835e-2,3.181e-3
209.67,2.729e-2,,2.289e-2,4.400e-3
209.7,1.036e-2,,4.012e-3,6.352e-3
209.72,9.020e-3,,1.555e-3,7.466e-3
209.75,1.078e-2,,2.416e-3,8.363e-3
209.77,1.419e-2,,5.921e-3,8.267e-3
209.8,2.860e-2,,2.148e-2,7.121e-3
209.82,5.261e-2,,4.671e-2,5.902e-3
209.85,1.361e-1,,1.322e-1,3.899e-3
209.87,2.469e-1,,2.442e-1,2.708e-3
209.9,5.484e-1,,5.470e-1,1.374e-3
209.92,8.732e-1,,8.724e-1,8.013e-4
209.95,1.594e+0,,1.594e+0,3.148e-4
209.97,2.244e+0,,2.244e+0,1.561e-4
210,3.448e+0,,3.448e+0,4.933e-5
210.02,4.348e+0,,4.348e+0,2.183e-5
210.04,5.249e+0,,5.249e+0,9.525e-6
210.07,6.399e+0,,6.399e+0,2.815e-6
210.09,6.899e+0,,6.899e+0,1.297e-6
210.12,7.132e+0,,7.132e+0,4.209e-7
210.14,6.982e+0,,6.982e+0,1.974e-7
210.17,6.538e+0,,6.538e+0,6.048e-8
210.19,6.258e+0,,6.258e+0,2.870e-8
210.22,6.012e+0,,6.012e+0,2.459e-8
210.24,5.938e+0,,5.938e+0,5.130e-8
210.27,5.809e+0,,5.809e+0,1.856e-7
210.29,5.649e+0,,5.649e+0,4.101e-7
210.32,5.348e+0,,5.348e+0,1.179e-6
210.34,5.204e+0,,5.204e+0,2.180e-6
210.37,5.208e+0,,5.208e+0,4.796e-6
210.39,5.340e+0,,5.340e+0,7.434e-6
210.42,5.527e+0,,5.527e+0,1.269e-5
210.44,5.493e+0,,5.493e+0,1.693e-5
210.46,5.264e+0,,5.264e+0,2.186e-5
210.49,4.689e+0,,4.689e+0,3.281e-5
210.51,4.483e+0,,4.483e+0,4.679e-5
210.54,5.672e+0,,5.672e+0,9.391e-5
210.56,8.741e+0,,8.741e+0,1.584e-4
210.59,2.019e+1,,2.019e+1,3.382e-4
210.61,3.498e+1,,3.498e+1,5.296e-4
210.64,7.197e+1,,7.197e+1,9.227e-4
210.66,1.072e+2,,1.072e+2,1.227e-3
210.69,1.719e+2,,1.719e+2,1.649e-3
210.71,2.169e+2,,2.169e+2,1.837e-3
210.74,2.749e+2,,2.749e+2,1.890e-3
