Wavelength (nm),Sum(calc),Ca I (3.8e-2),Ca II (9.5e-1),Ca III (1.3e-2)
213.67,1.463e-15,,8.897e-14,1.463e-15
213.69,5.686e-16,,8.892e-14,5.686e-16
213.72,2.501e-16,,8.884e-14,2.501e-16
213.74,4.507e-16,,8.879e-14,4.507e-16
213.76,1.157e-15,,8.874e-14,1.157e-15
213.79,4.597e-15,,8.866e-14,4.597e-15
213.81,1.063e-14,,8.861e-14,1.063e-14
213.84,3.278e-14,,8.853e-14,3.278e-14
213.86,6.365e-14,,8.848e-14,6.365e-14
213.89,1.511e-13,,8.840e-14,1.511e-13
213.91,2.464e-13,,8.835e-14,2.464e-13
213.94,4.500e-13,,8.827e-14,4.500e-13
213.96,6.162e-13,,8.822e-14,6.162e-13
213.99,8.662e-13,,8.814e-14,8.662e-13
214.01,9.960e-13,,8.809e-14,9.960e-13
214.04,1.077e-12,,8.801e-14,1.077e-12
214.06,1.041e-12,,8.796e-14,1.041e-12
214.09,8.662e-13,,8.788e-14,8.662e-13
214.11,7.025e-13,,8.783e-14,7.025e-13
214.13,5.314e-13,,8.778e-14,5.314e-13
214.16,3.072e-13,,8.770e-14,3.072e-13
214.18,1.961e-13,,8.765e-14,1.961e-13
214.21,9.021e-14,,8.757e-14,9.021e-14
214.23,5.250e-14,,8.752e-14,5.250e-14
214.26,2.809e-14,,8.744e-14,2.809e-14
214.28,2.454e-14,,8.739e-14,2.454e-14
214.31,2.773e-14,,8.731e-14,2.773e-14
214.33,3.149e-14,,8.726e-14,3.149e-14
214.36,3.523e-14,,8.718e-14,3.523e-14
214.38,3.514e-14,,8.713e-14,3.514e-14
214.41,4.190e-14,1.110e-14,8.705e-14,3.080e-14
214.43,1.347e-13,1.088e-13,8.700e-14,2.588e-14
214.46,2.951e-12,2.933e-12,8.692e-14,1.749e-14
214.48,2.420e-11,2.419e-11,8.687e-14,1.235e-14
214.51,5.033e-10,5.033e-10,8.679e-14,6.428e-15
214.53,3.491e-9,3.491e-9,8.674e-14,3.813e-15
214.55,2.260e-8,2.260e-8,8.669e-14,2.110e-15
214.58,3.270e-7,3.270e-7,8.661e-14,7.620e-16
214.6,1.781e-6,1.781e-6,8.656e-14,3.543e-16
214.63,1.987e-5,1.987e-5,8.648e-14,9.855e-17
214.65,9.104e-5,9.104e-5,8.643e-14,3.850e-17
214.68,7.840e-4,7.840e-4,8.635e-14,8.248e-18
214.7,3.021e-3,3.021e-3,8.630e-14,2.707e-18
214.73,2.007e-2,2.007e-2,8.622e-14,4.469e-19
214.75,6.505e-2,6.505e-2,8.617e-14,1.245e-19
214.78,3.334e-1,3.334e-1,8.609e-14,3.077e-20
214.8,9.091e-1,9.091e-1,8.604e-14,7.511e-20
214.83,3.595e+0,3.595e+0,8.596e-14,6.465e-19
214.85,8.246e+0,8.246e+0,8.591e-14,2.572e-18
214.88,2.516e+1,2.516e+1,8.583e-14,1.794e-17
214.9,4.854e+1,4.854e+1,8.578e-14,6.010e-17
214.92,8.739e+1,8.739e+1,8.572e-14,1.879e-16
214.95,1.854e+2,1.854e+2,8.565e-14,9.120e-16
214.97,2.808e+2,2.808e+2,8.559e-14,2.399e-15
215,4.597e+2,4.597e+2,8.552e-14,8.988e-15
215.02,5.856e+2,5.856e+2,8.546e-14,1.989e-14
215.05,7.396e+2,7.396e+2,8.539e-14,5.752e-14
215.07,7.926e+2,7.926e+2,8.533e-14,1.071e-13
215.1,7.723e+2,7.723e+2,8.526e-14,2.391e-13
215.12,6.962e+2,6.962e+2,8.520e-14,3.745e-13
215.15,5.233e+2,5.233e+2,8.513e-14,6.452e-13
215.17,3.968e+2,3.968e+2,8.507e-14,8.506e-13
215.2,2.302e+2,2.302e+2,8.500e-14,1.131e-12
215.22,1.468e+2,1.468e+2,8.494e-14,1.254e-12
215.25,6.569e+1,6.569e+1,8.487e-14,1.287e-12
215.27,3.525e+1,3.525e+1,8.481e-14,1.201e-12
215.3,1.217e+1,1.217e+1,8.474e-14,9.516e-13
215.32,5.492e+0,5.492e+0,8.468e-14,7.472e-13
215.34,2.313e+0,2.313e+0,8.463e-14,5.476e-13
215.37,5.554e-1,5.554e-1,8.455e-14,3.018e-13
215.39,1.968e-1,1.968e-1,8.450e-14,1.861e-13
215.42,3.645e-2,3.645e-2,8.442e-14,7.917e-14
215.44,1.086e-2,1.086e-2,8.437e-14,4.108e-14
215.47,1.552e-3,1.552e-3,8.429e-14,1.349e-14
