Wavelength (nm),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
244.489664,,1.133e+0,
244.510594,,2.006e+2,
244.511349,,6.306e-1,
244.557287,,1.871e+3,
244.579546,,2.807e+2,
244.594523,,4.231e-1,
244.611029,,3.173e+2,
244.632143,,4.070e-1,
244.640777,,8.086e+1,
244.647114,,6.701e+2,
244.720395,,2.624e+2,
244.732687,,1.985e+2,
244.7377,,,1.825e-6
244.775478,,6.025e+2,
244.81147,,8.084e+0,
244.970743,,7.451e-1,
244.996514,,1.906e+2,
245.003184,,6.564e+1,
245.013838,,1.454e+1,
245.02052,,1.936e+2,
245.028292,,2.594e+1,
245.121675,,1.031e+2,
245.213902,,7.149e-1,
245.219978,,1.226e+1,
245.315467,,6.178e+1,
245.347592,3.306e+2,,
245.356823,6.841e+1,,
245.37472,,1.779e+1,
245.379717,,2.033e+2,
245.391547,,1.284e+1,
245.397559,,7.707e+1,
245.457647,,4.349e+2,
245.458409,,1.301e+2,
245.569105,,1.081e+0,
245.571053,,4.567e+1,
245.589794,,6.910e+1,
245.6642,,5.623e+1,
245.682095,,8.825e+1,
245.696569,,3.406e+0,
245.710169,,4.853e+0,
245.73395,,3.105e+0,
245.758018,,5.019e+1,
245.75968,1.425e+3,,
245.835894,,5.384e-1,
245.878349,,2.424e+3,
245.897303,,3.912e+2,
245.928063,,7.402e+0,
246.015419,,2.202e+1,
246.044008,,3.986e+2,
246.06504,,3.817e+1,
246.128326,,1.588e+3,
246.166967,,1.144e+2,
246.186075,,2.087e+3,
246.218086,3.828e+2,,
246.231822,,2.991e+1,
246.264707,3.895e+3,,
246.3281,,6.626e+2,
246.373043,1.996e+2,,
246.390275,,2.925e+1,
246.400948,,9.350e+2,
246.455817,,6.104e+0,
246.490512,,7.600e+2,
246.514911,1.006e+3,,
246.519992,,7.765e+2,
246.587725,,1.587e+0,
246.591339,,8.428e+2,
246.649743,,3.679e+1,
246.667095,,6.912e+2,
246.676682,,1.773e+2,
246.6819,,9.539e+2,
246.698489,,5.346e-1,
246.774117,,2.328e+1,
246.829792,,1.644e+2,
246.887968,7.301e+2,,
246.951448,,6.125e+2,
246.971512,,1.707e+1,
246.983146,,5.761e+1,
247.040882,,3.122e+2,
247.06691,,1.280e+3,
247.076496,,1.624e+2,
247.087894,,3.205e+0,
247.127562,,2.099e+1,
247.233614,2.517e+2,,
247.235118,2.613e+2,,
247.242804,,4.312e+2,
247.260515,,1.894e+2,
247.26506,,4.095e-1,
247.287203,4.314e+2,,
247.289473,6.496e+3,,
247.303024,,3.989e+1,
247.332105,,7.975e+2,
247.346048,,3.649e+0,
247.405349,,3.082e+0,
247.420916,,7.250e-1,
247.448899,,2.471e+0,
247.45195,,1.926e+0,
247.47651,,6.871e+2,
247.481423,1.072e+3,,
247.511681,,1.223e+2,
247.511798,,4.192e-1,
247.554128,,1.438e+2,
247.626389,,1.644e+2,
247.665658,2.213e+2,,
247.734336,,2.242e+2,
247.790658,,8.368e-1,
247.811309,,9.648e+1,
247.857199,,7.563e+2,
247.92301,,2.225e+1,
247.948014,2.556e+2,,
247.977624,6.055e+3,,
248.015733,,1.801e+3,
248.095101,,1.454e+0,
248.104922,,1.574e+2,
248.157764,,4.893e+1,
248.211711,,1.621e+3,
248.23258,,1.378e+2,
248.265731,,1.221e+3,
248.26755,,1.453e+1,
248.286663,,4.056e+1,
248.327095,4.101e+4,,
248.337126,,1.829e+0,
248.353328,2.568e+2,,
248.365792,,1.121e+0,
248.372344,,1.651e+2,
248.418719,4.643e+3,,
