wl,A,E,g,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
399.382,8.10E+07,32 372.621 ,4.5,,,,,,,,,,, 
399.924,3.96E+07,27 379.949 ,5.5,,,,,,,,,,,
400.156,1.79E+07,29 994.041 ,2.5,,,,,,,,,,,
400.377,6.80E+07,32 492.038 ,5.5,,,,,,,,,,,
400.564,9.80E+06,25 945.396 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
400.759, ,29 790.270 ,0.5,,,,,,,,,,, 
401.239,6.70E+07,29 438.817 ,5.5,,,,,,,,,,,
401.49,2.59E+07,29 166.597 ,4.5,,,,,,,,,,,
401.588, ,33 296.805 ,4.5,,,,,,,,,,,
401.904, ,33 050.291 ,1.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
402.227, ,33 908.193 ,4.5,,,,,,,,,,, 
402.449,1.86E+07,28 634.516 ,5.5,,,,,,,,,,,
402.515,3.45E+07,28 345.313 ,0.5,,,,,,,,,,,
402.841,1.85E+07,27 379.949 ,5.5,,,,,,,,,,,
403.034, ,27 187.047 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
403.134,1.97E+07,27 379.949 ,5.5,,,,,,,,,,, 
403.767,1.43E+07,30 702.610 ,4.5,,,,,,,,,,,
404.076,6.60E+07,28 334.756 ,4.5,,,,,,,,,,,
404.258,4.11E+07,28 725.148 ,4.5,,,,,,,,,,,
404.521, ,31 234.878 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
404.634,2.85E+07,29 166.597 ,4.5,,,,,,,,,,, 
405.143,9.50E+06,29 794.517 ,3.5,,,,,,,,,,,
405.199,1.19E+07,30 637.157 ,2.5,,,,,,,,,,,
405.351,1.00E+07,24 663.053 ,4.5,,,,,,,,,,,
405.499, ,27 249.669 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
406.222, ,35 625.700 ,3.5,,,,,,,,,,, 
406.294,8.40E+06,27 187.047 ,3.5,,,,,,,,,,,
406.728, ,33 111.163 ,3.5,,,,,,,,,,,
406.884,2.73E+07,30 245.878 ,4.5,,,,,,,,,,,
407.181,3.15E+07,27 187.047 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
407.292,1.15E+07,27 187.047 ,3.5,,,,,,,,,,, 
407.348,1.09E+08,28 396.150 ,2.5,,,,,,,,,,,
407.374, ,32 989.218 ,3.5,,,,,,,,,,,
407.571,4.87E+07,30 180.096 ,6.5,,,,,,,,,,,
407.585,4.86E+07,29 438.817 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
407.624, ,31 043.110 ,2.5,,,,,,,,,,, 
407.747, ,26 900.354 ,3.5,,,,,,,,,,,
