Wavelength (nm),Sum(calc),Li I (4.0e-2),Li II (9.6e-1),Li III (5.9e-34)
208.2411,5.351e-81,,,5.351e-81
208.2413,3.059e-80,,,3.059e-80
208.2415,1.481e-79,,,1.481e-79
208.2417,6.074e-79,,,6.074e-79
208.2418,1.156e-78,,,1.156e-78
208.242,3.695e-78,,,3.695e-78
208.2422,1.001e-77,,,1.001e-77
208.2423,1.547e-77,,,1.547e-77
208.2425,3.266e-77,,,3.266e-77
208.2427,5.840e-77,,,5.840e-77
208.2429,8.845e-77,,,8.845e-77
208.243,1.023e-76,,,1.023e-76
208.2432,1.207e-76,,,1.207e-76
208.2434,1.208e-76,,,1.208e-76
208.2436,1.023e-76,,,1.023e-76
208.2437,8.858e-77,,,8.858e-77
208.2439,5.900e-77,,,5.900e-77
208.2441,3.493e-77,,,3.493e-77
208.2442,2.708e-77,,,2.708e-77
208.2444,2.216e-77,,,2.216e-77
208.2446,3.400e-77,,,3.400e-77
208.2448,6.512e-77,,,6.512e-77
208.2449,8.793e-77,,,8.793e-77
208.2451,1.438e-76,,,1.438e-76
208.2453,2.003e-76,,,2.003e-76
208.2454,2.222e-76,,,2.222e-76
208.2456,2.414e-76,,,2.414e-76
208.2458,2.222e-76,,,2.222e-76
208.246,1.732e-76,,,1.732e-76
208.2461,1.437e-76,,,1.437e-76
208.2463,8.732e-77,,,8.732e-77
208.2465,4.495e-77,,,4.495e-77
208.2467,1.960e-77,,,1.960e-77
208.2468,1.216e-77,,,1.216e-77
208.247,4.132e-78,,,4.132e-78
208.2472,1.190e-78,,,1.190e-78
208.2473,5.997e-79,,,5.997e-79
208.2475,1.346e-79,,,1.346e-79
208.2477,2.558e-80,,,2.558e-80
208.2479,4.119e-81,,,4.119e-81
208.248,1.553e-81,,,1.553e-81
208.2482,1.949e-82,,,1.949e-82
208.2484,2.072e-83,,,2.072e-83
208.2486,1.866e-84,,,1.866e-84
208.2487,5.262e-85,,,5.262e-85
208.2489,3.694e-86,,,3.694e-86
208.2491,2.196e-87,,,2.196e-87
208.2492,5.032e-88,,,5.032e-88
208.2494,2.332e-89,,,2.332e-89
208.2496,9.157e-91,,,9.157e-91
208.2498,3.045e-92,,,3.045e-92
208.2499,5.218e-93,,,5.218e-93
208.2501,1.353e-94,,,1.353e-94
208.2503,2.970e-96,,,2.970e-96
208.2504,4.135e-97,,,4.135e-97
208.2506,7.079e-99,,,7.079e-99
208.2508,1.026e-100,,,1.026e-100
208.251,1.260e-102,,,1.260e-102
208.2511,1.312e-103,,,1.312e-103
208.2513,1.256e-105,,,1.256e-105
208.2515,1.019e-107,,,1.019e-107
