Wavelength (nm),Sum(calc),Al I (2.4e-2),Al II (4.8e-1),Al III (3.5e-4),Cr I (1.4e-2),Cr II (4.8e-1)
206.534,1.526e+4,,3.870e-41,,,1.526e+4
206.536,4.634e+4,,3.872e-41,,,4.634e+4
206.537,7.638e+4,,3.873e-41,,,7.638e+4
206.539,1.857e+5,,3.874e-41,,,1.857e+5
206.541,3.894e+5,,3.876e-41,,,3.894e+5
206.542,5.333e+5,,3.877e-41,,,5.333e+5
206.544,8.955e+5,,3.879e-41,,,8.955e+5
206.546,1.297e+6,,3.881e-41,,,1.297e+6
206.548,1.619e+6,,3.882e-41,,,1.619e+6
206.549,1.712e+6,,3.883e-41,,,1.712e+6
206.551,1.712e+6,,3.885e-41,,,1.712e+6
206.553,1.476e+6,,3.887e-41,,,1.476e+6
206.554,1.297e+6,,3.888e-41,,,1.297e+6
206.556,8.955e+5,,3.890e-41,,,8.955e+5
206.558,5.333e+5,,3.891e-41,,,5.333e+5
206.559,3.894e+5,,3.892e-41,,,3.894e+5
206.561,1.857e+5,,3.894e-41,,,1.857e+5
206.563,7.638e+4,,3.896e-41,,,7.638e+4
206.564,4.634e+4,,3.897e-41,,,4.634e+4
206.566,1.526e+4,,3.899e-41,,,1.526e+4
206.568,4.335e+3,,3.900e-41,,,4.335e+3
206.569,2.186e+3,,3.901e-41,,,2.186e+3
206.571,4.971e+2,,3.903e-41,,,4.971e+2
206.573,9.752e+1,,3.905e-41,,,9.752e+1
206.574,4.086e+1,,3.906e-41,,,4.086e+1
206.576,6.418e+0,,3.908e-41,,,6.418e+0
206.578,8.695e-1,,3.909e-41,,,8.695e-1
206.579,3.027e-1,,3.910e-41,,,3.027e-1
206.581,3.284e-2,,3.912e-41,,,3.284e-2
206.583,3.073e-3,,3.914e-41,,,3.073e-3
206.584,8.891e-4,,3.915e-41,,,8.891e-4
206.586,6.661e-5,,3.917e-41,,,6.661e-5
206.588,4.304e-6,,3.918e-41,,,4.304e-6
206.589,1.035e-6,,3.919e-41,,,1.035e-6
206.591,5.355e-8,,3.921e-41,,,5.355e-8
206.593,2.389e-9,,3.923e-41,,,2.389e-9
206.594,4.774e-10,,3.924e-41,,,4.774e-10
206.596,1.706e-11,,3.926e-41,,,1.706e-11
206.598,5.257e-13,,3.927e-41,,,5.257e-13
206.599,8.730e-14,,3.928e-41,,,8.730e-14
206.601,2.154e-15,,3.930e-41,,,2.154e-15
206.603,4.584e-17,,3.932e-41,,,4.584e-17
206.604,6.326e-18,,3.933e-41,,,6.326e-18
206.606,1.078e-19,,3.935e-41,,,1.078e-19
206.608,1.585e-21,,3.936e-41,,,1.585e-21
206.609,1.817e-22,,3.937e-41,,,1.817e-22
206.611,2.139e-24,,3.939e-41,,,2.139e-24
206.613,2.171e-26,,3.941e-41,,,2.171e-26
206.614,2.069e-27,,3.942e-41,,,2.069e-27
206.616,1.681e-29,,3.944e-41,,,1.681e-29
206.618,1.179e-31,,3.945e-41,,,1.179e-31
206.619,9.335e-33,,3.946e-41,,,9.335e-33
206.621,5.240e-35,,3.948e-41,,,5.240e-35
206.623,2.536e-37,,3.950e-41,,,2.536e-37
206.624,1.669e-38,,3.951e-41,,,1.669e-38
207.288,1.892e-50,,4.548e-41,1.892e-50,,7.820e-34
207.29,4.341e-48,,4.550e-41,4.341e-48,,7.844e-34
207.292,8.601e-46,,4.551e-41,8.601e-46,,7.867e-34
207.293,1.146e-44,,4.552e-41,1.146e-44,,7.879e-34
207.295,1.821e-42,,4.554e-41,1.821e-42,,7.903e-34
207.297,2.500e-40,,4.556e-41,2.500e-40,,7.926e-34
207.298,2.771e-39,,4.557e-41,2.771e-39,,7.938e-34
207.3,3.051e-37,,4.559e-41,3.051e-37,,7.962e-34
207.302,2.900e-35,,4.560e-41,2.900e-35,,7.985e-34
207.303,2.676e-34,,4.561e-41,2.676e-34,,7.997e-34
207.305,2.040e-32,,4.563e-41,2.040e-32,,8.021e-34
207.307,1.343e-30,,4.565e-41,1.343e-30,,8.044e-34
207.308,1.031e-29,,4.566e-41,1.031e-29,,8.056e-34
207.31,5.447e-28,,4.568e-41,5.447e-28,,8.079e-34
207.312,2.484e-26,,4.569e-41,2.484e-26,,8.103e-34
207.313,1.587e-25,,4.570e-41,1.587e-25,,8.115e-34
207.315,5.806e-24,,4.572e-41,5.806e-24,,8.138e-34
207.317,1.834e-22,,4.574e-41,1.834e-22,,8.162e-34
207.318,9.751e-22,,4.575e-41,9.751e-22,,8.174e-34
207.32,2.471e-20,,4.577e-41,2.471e-20,,8.197e-34
207.322,5.404e-19,,4.578e-41,5.404e-19,,8.221e-34
207.323,2.392e-18,,4.579e-41,2.392e-18,,8.233e-34
207.325,4.198e-17,,4.581e-41,4.198e-17,,8.256e-34
207.327,6.361e-16,,4.583e-41,6.361e-16,,8.280e-34
207.328,2.343e-15,,6.810e-40,2.343e-15,,8.291e-34
207.33,2.849e-14,,1.347e-37,2.849e-14,,8.315e-34
207.332,2.990e-13,,2.300e-35,2.990e-13,,8.339e-34
