Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
212.47,4.352e-43,,,4.352e-43
212.472,8.828e-44,,,8.828e-44
212.473,3.745e-44,,,3.745e-44
212.475,5.981e-45,,,5.981e-45
212.477,8.143e-46,,,8.143e-46
212.478,2.830e-46,,,2.830e-46
212.48,3.033e-47,,,3.033e-47
212.482,2.772e-48,,,2.772e-48
212.483,7.892e-49,,,7.892e-49
212.485,5.677e-50,,,5.677e-50
212.487,3.481e-51,,,3.481e-51
212.488,8.120e-52,,,8.120e-52
212.49,3.920e-53,,,3.920e-53
212.492,1.613e-54,,,1.613e-54
212.493,3.083e-55,,,3.083e-55
212.495,9.987e-57,,,9.987e-57
212.497,2.759e-58,,,2.759e-58
212.498,4.318e-59,,,4.318e-59
212.5,9.389e-61,,,9.389e-61
212.502,1.740e-62,,,1.740e-62
212.503,2.232e-63,,,2.232e-63
212.505,3.257e-65,,,3.257e-65
212.507,4.052e-67,,,4.052e-67
212.508,4.257e-68,,,4.257e-68
212.51,4.169e-70,,,4.169e-70
212.512,3.481e-72,,,3.481e-72
212.513,2.996e-73,,,2.996e-73
212.515,1.969e-75,,,1.969e-75
212.517,1.103e-77,,,1.103e-77
212.518,7.779e-79,,,7.779e-79
212.52,3.431e-81,,,3.431e-81
212.522,1.290e-83,,,1.290e-83
212.523,7.454e-85,,,7.454e-85
212.525,2.207e-87,,,2.207e-87
212.527,5.569e-90,,,5.569e-90
212.528,2.635e-91,,,2.635e-91
212.53,5.235e-94,,,5.235e-94
212.532,8.868e-97,,,8.868e-97
212.533,3.438e-98,,,3.438e-98
212.535,4.584e-101,,,4.584e-101
212.537,5.210e-104,,,5.210e-104
212.538,1.655e-105,,,1.655e-105
212.54,1.481e-108,,,1.481e-108
212.542,1.130e-111,,,1.130e-111
212.543,2.939e-113,,,2.939e-113
212.545,1.765e-116,,,1.765e-116
212.547,9.037e-120,,,9.037e-120
212.548,1.926e-121,,,1.926e-121
212.55,7.763e-125,,,7.763e-125
212.552,2.667e-128,,,2.667e-128
212.553,4.658e-130,,,4.658e-130
212.555,1.260e-133,,,1.260e-133
212.56,6.139e-130,,,6.139e-130
212.562,2.062e-126,,,2.062e-126
212.563,1.126e-124,,,1.126e-124
212.565,2.978e-121,,,2.978e-121
212.567,6.718e-118,,,6.718e-118
212.568,3.006e-116,,,3.006e-116
212.57,5.341e-113,,,5.341e-113
212.572,8.093e-110,,,8.093e-110
212.573,2.968e-108,,,2.968e-108
212.575,3.541e-105,,,3.541e-105
212.577,3.604e-102,,,3.604e-102
212.578,1.083e-100,,,1.083e-100
212.58,8.681e-98,,,8.681e-98
212.582,5.934e-95,,,5.934e-95
212.583,1.462e-93,,,1.462e-93
212.585,7.868e-91,,,7.868e-91
212.587,3.612e-88,,,3.612e-88
212.588,7.292e-87,,,7.292e-87
212.59,2.637e-84,,,2.637e-84
212.592,8.130e-82,,,8.130e-82
212.593,1.345e-80,,,1.345e-80
212.595,3.266e-78,,,3.266e-78
212.597,6.765e-76,,,6.765e-76
212.598,9.172e-75,,,9.172e-75
212.6,1.496e-72,,,1.496e-72
212.602,2.081e-70,,,2.081e-70
212.603,2.313e-69,,,2.313e-69
212.605,2.534e-67,,,2.534e-67
212.607,2.367e-65,,,2.367e-65
212.608,2.156e-64,,,2.156e-64
212.61,1.586e-62,,,1.586e-62
212.612,9.955e-61,,,9.955e-61
212.613,7.429e-60,,,7.429e-60
212.615,3.672e-58,,,3.672e-58
212.617,1.548e-56,,,1.548e-56
212.618,9.466e-56,,,9.466e-56
212.62,3.142e-54,,,3.142e-54
212.622,8.897e-53,,,8.897e-53
212.623,4.459e-52,,,4.459e-52
212.625,9.943e-51,,,9.943e-51
212.627,1.891e-49,,,1.891e-49
212.628,7.767e-49,,,7.767e-49
212.63,1.163e-47,,,1.163e-47
212.632,1.486e-46,,,1.486e-46
212.633,5.001e-46,,,5.001e-46
212.635,5.031e-45,,,5.031e-45
212.637,4.315e-44,,,4.315e-44
212.638,1.191e-43,,,1.191e-43
212.64,8.044e-43,,,8.044e-43
212.642,4.635e-42,,,4.635e-42
212.643,1.048e-41,,,1.048e-41
212.645,4.756e-41,,,4.756e-41
212.647,1.840e-40,,,1.840e-40
212.648,3.411e-40,,,3.411e-40
212.65,1.040e-39,,,1.040e-39
212.652,2.702e-39,,,2.702e-39
212.653,4.104e-39,,,4.104e-39
212.655,8.400e-39,,,8.400e-39
212.657,1.467e-38,,,1.467e-38
212.658,1.825e-38,,,1.825e-38
212.66,2.510e-38,,,2.510e-38
212.662,2.943e-38,,,2.943e-38
212.663,3.002e-38,,,3.002e-38
212.665,2.772e-38,,,2.772e-38
212.667,2.183e-38,,,2.183e-38
212.668,1.825e-38,,,1.825e-38
212.67,1.132e-38,,,1.132e-38
212.672,5.989e-39,,,5.989e-39
212.673,4.104e-39,,,4.104e-39
212.675,1.710e-39,,,1.710e-39
212.677,6.074e-40,,,6.074e-40
212.678,3.411e-40,,,3.411e-40
212.68,9.544e-41,,,9.544e-41
212.682,2.277e-41,,,2.277e-41
212.683,1.048e-41,,,1.048e-41
212.685,1.970e-42,,,1.970e-42
212.687,3.157e-43,,,3.157e-43
212.688,1.191e-43,,,1.191e-43
212.69,1.503e-44,,,1.503e-44
212.692,1.618e-45,,,1.618e-45
212.693,5.001e-46,,,5.001e-46
212.695,4.240e-47,,,4.240e-47
212.697,3.066e-48,,,3.066e-48
212.698,7.767e-49,,,7.767e-49
212.7,4.423e-50,,,4.423e-50
212.702,2.148e-51,,,2.148e-51
212.703,4.459e-52,,,4.459e-52
212.705,1.706e-53,,,1.706e-53
212.707,5.564e-55,,,5.564e-55
212.708,9.466e-56,,,9.466e-56
212.71,2.432e-57,,,2.432e-57
212.712,5.946e-59,,,5.946e-59
212.713,4.999e-59,,,4.999e-59
212.715,1.788e-57,,,1.788e-57
212.717,6.405e-56,,,6.405e-56
212.718,3.612e-55,,,3.612e-55
212.72,1.019e-53,,,1.019e-53
212.722,2.454e-52,,,2.454e-52
212.723,1.134e-51,,,1.134e-51
212.725,2.151e-50,,,2.151e-50
212.727,3.479e-49,,,3.479e-49
212.728,1.318e-48,,,1.318e-48
212.73,1.680e-47,,,1.680e-47
212.732,1.825e-46,,,1.825e-46
212.733,5.669e-46,,,5.669e-46
212.735,4.854e-45,,,4.854e-45
212.737,3.544e-44,,,3.544e-44
212.738,9.023e-44,,,9.023e-44
212.74,5.190e-43,,,5.190e-43
212.742,2.547e-42,,,2.547e-42
212.743,5.314e-42,,,5.314e-42
212.745,2.054e-41,,,2.054e-41
212.747,6.771e-41,,,6.771e-41
212.748,1.158e-40,,,1.158e-40
212.75,3.008e-40,,,3.008e-40
212.752,6.663e-40,,,6.663e-40
212.753,9.342e-40,,,9.342e-40
212.755,1.630e-39,,,1.630e-39
212.757,2.426e-39,,,2.426e-39
212.758,2.788e-39,,,2.788e-39
212.76,3.269e-39,,,3.269e-39
212.762,3.269e-39,,,3.269e-39
212.763,3.080e-39,,,3.080e-39
212.765,2.426e-39,,,2.426e-39
212.767,1.630e-39,,,1.630e-39
212.768,1.259e-39,,,1.259e-39
212.77,6.663e-40,,,6.663e-40
212.772,3.008e-40,,,3.008e-40
212.773,1.904e-40,,,1.904e-40
212.775,6.771e-41,,,6.771e-41
212.777,2.054e-41,,,2.054e-41
212.778,1.066e-41,,,1.066e-41
212.78,2.547e-42,,,2.547e-42
212.782,5.190e-43,,,5.190e-43
212.783,2.208e-43,,,2.208e-43
212.785,3.544e-44,,,3.544e-44
212.787,4.854e-45,,,4.854e-45
212.788,1.692e-45,,,1.692e-45
212.79,1.825e-46,,,1.825e-46
212.792,1.680e-47,,,1.680e-47
212.793,4.800e-48,,,4.800e-48
212.795,3.479e-49,,,3.479e-49
212.797,2.151e-50,,,2.151e-50
212.798,5.039e-51,,,5.039e-51
212.8,2.454e-52,,,2.454e-52
212.802,1.019e-53,,,1.019e-53
212.803,1.957e-54,,,1.957e-54
212.805,6.405e-56,,,6.405e-56
212.807,1.788e-57,,,1.788e-57
212.808,2.814e-58,,,2.814e-58
212.81,6.186e-60,,,6.186e-60
212.812,1.160e-61,,,1.160e-61
212.813,1.497e-62,,,1.497e-62
212.815,2.211e-64,,,2.211e-64
212.817,2.786e-66,,,2.786e-66
212.818,2.946e-67,,,2.946e-67
212.82,2.925e-69,,,2.925e-69
212.822,2.476e-71,,,2.476e-71
212.823,2.146e-72,,,2.146e-72
212.825,1.431e-74,,,1.431e-74
212.827,8.143e-77,,,8.143e-77
212.828,5.786e-78,,,5.786e-78
212.83,2.593e-80,,,2.593e-80
212.832,9.911e-83,,,9.911e-83
212.833,5.772e-84,,,5.772e-84
212.835,1.738e-86,,,1.738e-86
212.837,4.464e-89,,,4.464e-89
