Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (1.1e-1),Fe II (6.0e-1),Fe III (8.0e-5),Ni I (2.3e-2),Ni II (7.1e-2),Ni III (2.4e-6)
203.59,4.836e+2,,,,4.836e+2,3.097e-4,6.845e-22,,
203.6,5.880e+2,,,,5.880e+2,3.044e-4,6.767e-22,,
203.62,7.629e+2,,,,7.629e+2,2.922e-4,6.611e-22,,
203.64,8.320e+2,,,,8.320e+2,2.937e-4,6.456e-22,,
203.65,8.142e+2,,,,8.142e+2,3.046e-4,6.378e-22,,
203.67,6.844e+2,,,,6.844e+2,3.463e-4,6.223e-22,,
203.69,4.836e+2,,,,4.836e+2,3.989e-4,6.067e-22,,
203.7,3.809e+2,,,,3.809e+2,4.204e-4,5.989e-22,,
203.72,2.075e+2,,,,2.075e+2,4.398e-4,5.834e-22,,
203.74,9.498e+1,,,,9.498e+1,4.237e-4,5.678e-22,,
203.75,6.022e+1,,,,6.022e+1,4.059e-4,5.601e-22,,
203.77,2.125e+1,,,,2.125e+1,3.638e-4,5.445e-22,,
203.79,6.303e+0,,,,6.302e+0,3.264e-4,5.290e-22,,
203.8,3.217e+0,,,,3.216e+0,3.117e-4,5.212e-22,,
203.82,7.396e-1,,,,7.393e-1,2.901e-4,5.056e-22,,
203.84,1.737e-1,,,,1.735e-1,2.778e-4,4.901e-22,,
203.85,1.434e-1,,,,1.431e-1,2.753e-4,4.823e-22,,
203.87,5.317e-1,,,,5.314e-1,2.782e-4,4.668e-22,,
203.89,2.703e+0,,,,2.703e+0,2.889e-4,4.512e-22,,
203.9,5.758e+0,,,,5.757e+0,2.951e-4,4.434e-22,,
203.92,2.296e+1,,,,2.296e+1,3.040e-4,4.279e-22,,
203.93,4.296e+1,,,,4.296e+1,3.054e-4,4.201e-22,,
203.95,1.322e+2,,,,1.322e+2,3.031e-4,4.046e-22,,
203.97,3.421e+2,,,,3.421e+2,3.020e-4,3.890e-22,,
203.98,5.158e+2,,,,5.158e+2,3.061e-4,3.812e-22,,
204,1.030e+3,,,,1.030e+3,3.287e-4,3.657e-22,,
204.02,1.730e+3,,,,1.730e+3,3.657e-4,3.501e-22,,
204.03,2.101e+3,,,,2.101e+3,3.836e-4,3.424e-22,,
204.05,2.724e+3,,,,2.724e+3,4.010e-4,3.268e-22,,
204.07,2.970e+3,,,,2.970e+3,3.781e-4,3.113e-22,,
204.08,2.906e+3,,,,2.906e+3,3.503e-4,3.035e-22,,
