Wavelength (nm),Sum(calc),Mg I (1.1e-1),Mg II (8.9e-1),Mg III (5.4e-4)
204.015,9.810e-57,4.821e-95,,9.810e-57
204.016,7.157e-58,4.824e-95,,7.157e-58
204.018,3.345e-60,4.832e-95,,3.345e-60
204.02,1.315e-62,4.839e-95,,1.315e-62
204.021,7.728e-64,4.843e-95,,7.728e-64
204.023,2.343e-66,4.850e-95,,2.343e-66
204.025,5.976e-69,4.857e-95,,5.976e-69
204.026,2.828e-70,4.861e-95,,2.828e-70
204.028,5.564e-73,4.868e-95,,5.564e-73
204.03,9.206e-76,4.876e-95,,9.206e-76
204.031,3.509e-77,4.879e-95,,3.509e-77
204.033,4.479e-80,4.887e-95,,4.479e-80
204.035,4.808e-83,4.894e-95,,4.808e-83
204.036,1.476e-84,4.898e-95,,1.476e-84
204.038,1.222e-87,4.905e-95,,1.222e-87
204.04,8.510e-91,4.912e-95,,8.510e-91
204.041,2.105e-92,4.916e-95,,2.105e-92
204.043,1.130e-95,4.923e-95,,1.130e-95
204.045,5.107e-99,4.931e-95,,5.107e-99
204.046,1.017e-100,4.934e-95,,1.017e-100
204.048,3.545e-104,4.942e-95,,3.545e-104
204.05,1.039e-107,4.949e-95,,1.039e-107
204.051,1.667e-109,4.953e-95,,1.667e-109
204.053,3.768e-113,4.960e-95,,3.768e-113
204.055,7.163e-117,4.968e-95,,7.163e-117
204.056,9.257e-119,4.971e-95,,9.257e-119
204.058,1.358e-122,4.979e-95,,1.358e-122
204.06,1.674e-126,4.986e-95,,1.674e-126
204.061,1.743e-128,4.990e-95,,1.743e-128
204.063,1.658e-132,4.997e-95,,1.658e-132
204.065,1.327e-136,5.004e-95,,1.327e-136
204.066,1.112e-138,5.008e-95,,1.112e-138
204.068,6.865e-143,5.015e-95,,6.865e-143
204.07,3.564e-147,5.023e-95,,3.564e-147
204.071,2.406e-149,5.026e-95,,2.406e-149
204.073,9.636e-154,5.034e-95,,9.636e-154
204.075,3.245e-158,5.041e-95,,3.245e-158
204.076,1.765e-160,5.045e-95,,1.765e-160
205.426,1.068e-160,1.001e-94,,1.068e-160
205.428,3.207e-156,1.002e-94,,3.207e-156
205.429,5.214e-154,1.002e-94,,5.214e-154
205.431,1.213e-149,1.003e-94,,1.213e-149
205.433,2.379e-145,1.003e-94,,2.379e-145
205.434,3.125e-143,1.004e-94,,3.125e-143
205.436,4.747e-139,1.005e-94,,4.747e-139
205.438,6.081e-135,1.005e-94,,6.081e-135
205.439,6.456e-133,1.006e-94,,6.456e-133
205.441,6.404e-129,1.006e-94,,6.404e-129
205.443,5.358e-125,1.007e-94,,5.358e-125
205.444,4.597e-123,1.007e-94,,4.597e-123
205.446,2.979e-119,1.008e-94,,2.979e-119
205.448,1.627e-115,1.009e-94,,1.627e-115
205.449,1.128e-113,1.009e-94,,1.128e-113
205.451,4.775e-110,1.010e-94,,4.775e-110
205.453,1.704e-106,1.011e-94,,1.704e-106
205.454,9.548e-105,1.011e-94,,9.548e-105
205.456,2.639e-101,1.012e-94,,2.639e-101
205.458,6.149e-98,1.013e-94,,6.149e-98
205.459,2.785e-96,1.013e-94,,2.785e-96
205.461,5.026e-93,1.014e-94,,5.026e-93
205.463,7.650e-90,1.014e-94,,7.650e-90
205.464,2.800e-88,1.015e-94,,2.800e-88
205.466,3.300e-85,1.016e-94,,3.300e-85
205.468,3.280e-82,1.016e-94,,3.280e-82
205.469,9.702e-81,1.017e-94,,9.702e-81
205.471,7.468e-78,1.017e-94,,7.468e-78
205.473,4.848e-75,1.018e-94,,4.848e-75
205.474,1.159e-73,1.019e-94,,1.159e-73
205.476,5.826e-71,1.019e-94,,5.826e-71
205.478,2.470e-68,1.020e-94,,2.470e-68
205.479,4.771e-67,1.020e-94,,4.771e-67
205.481,1.567e-64,1.021e-94,,1.567e-64
205.483,4.338e-62,1.022e-94,,4.338e-62
205.484,6.772e-61,1.022e-94,,6.772e-61
205.486,1.452e-58,1.023e-94,,1.452e-58
205.488,2.626e-56,1.024e-94,,2.626e-56
205.489,3.313e-55,1.024e-94,,3.313e-55
205.491,4.640e-53,1.025e-94,,4.640e-53
205.493,5.480e-51,1.026e-94,,5.480e-51
205.494,5.587e-50,1.026e-94,,5.587e-50
205.496,5.110e-48,1.027e-94,,5.110e-48
205.498,3.941e-46,1.027e-94,,3.941e-46
205.499,3.247e-45,1.028e-94,,3.247e-45
205.501,1.940e-43,1.028e-94,,1.940e-43
205.503,9.772e-42,1.029e-94,,9.772e-42
205.504,6.506e-41,1.030e-94,,6.506e-41
205.506,2.538e-39,1.030e-94,,2.538e-39
205.508,8.351e-38,1.031e-94,,8.351e-38
205.509,4.494e-37,1.031e-94,,4.494e-37
205.511,1.145e-35,1.032e-94,,1.145e-35
205.513,2.460e-34,1.033e-94,,2.460e-34
205.514,1.070e-33,1.033e-94,,1.070e-33
205.516,1.780e-32,1.034e-94,,1.780e-32
205.518,2.498e-31,1.035e-94,,2.498e-31
205.519,8.779e-31,1.035e-94,,8.779e-31
205.521,9.540e-30,1.036e-94,,9.540e-30
205.523,8.744e-29,1.037e-94,,8.744e-29
205.524,2.483e-28,1.037e-94,,2.483e-28
205.526,1.762e-27,1.038e-94,,1.762e-27
205.528,1.055e-26,1.038e-94,,1.055e-26
205.529,2.421e-26,1.039e-94,,2.421e-26
205.531,1.122e-25,1.039e-94,,1.122e-25
205.533,4.387e-25,1.040e-94,,4.387e-25
205.534,8.137e-25,1.041e-94,,8.137e-25
205.536,2.463e-24,1.041e-94,,2.463e-24
205.538,6.289e-24,1.042e-94,,6.289e-24
205.539,9.427e-24,1.042e-94,,9.427e-24
205.541,1.864e-23,1.043e-94,,1.864e-23
205.543,3.108e-23,1.044e-94,,3.108e-23
205.544,3.764e-23,1.044e-94,,3.764e-23
205.546,4.861e-23,1.045e-94,,4.861e-23
205.548,5.293e-23,1.046e-94,,5.293e-23
205.549,5.182e-23,1.046e-94,,5.182e-23
205.551,4.370e-23,1.047e-94,,4.370e-23
205.553,3.108e-23,1.048e-94,,3.108e-23
205.554,2.458e-23,1.048e-94,,2.458e-23
205.556,1.354e-23,1.049e-94,,1.354e-23
205.558,6.289e-24,1.049e-94,,6.289e-24
205.559,4.021e-24,1.050e-94,,4.021e-24
205.561,1.446e-24,1.051e-94,,1.446e-24
205.563,4.387e-25,1.051e-94,,4.387e-25
205.564,2.267e-25,1.052e-94,,2.267e-25
205.566,5.325e-26,1.052e-94,,5.325e-26
205.568,1.055e-26,1.053e-94,,1.055e-26
205.569,4.405e-27,1.053e-94,,4.405e-27
205.571,6.758e-28,1.054e-94,,6.758e-28
205.573,8.744e-29,1.055e-94,,8.744e-29
205.574,2.950e-29,1.055e-94,,2.950e-29
205.576,2.956e-30,1.056e-94,,2.956e-30
205.578,2.498e-31,1.057e-94,,2.498e-31
205.579,6.812e-32,1.057e-94,,6.812e-32
205.581,4.458e-33,1.058e-94,,4.458e-33
