Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K XIV , ,  ,1.79E-04,28 225        ,2,,,,,,,,,,,,,,
K XIV , ,  ,4.21E+01,28 225        ,2,,,,,,,,,,,,,,
K IV , ,  ,2.01E-01,16 384.0      ,2,,,,,,,,,,,,,,
K I ,691.1084,19,2.50E+06,27 450.7104   , 1/2 ,,,,,,,,,,,,,,
K I ,693.6284,12,1.90E+04,27 398.147    , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I ,693.8767,20,4.96E+06,27 450.7104   , 1/2 ,,,,,,,,,,,,,,
K I ,696.418,7,2.40E+03,27 398.147    , 3/2 ,,,,,,,,,,,,,,
K I ,696.4672,12,1.37E+04,27 397.077    , 5/2 ,,,,,,,,,,,,,,
K I , ,  ,4.90E+03,34 283.0181   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,4.90E+03,34 282.6573   , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K XIV , ,  ,4.22E+01,13 235        ,1,,,,,,,,,,,,,,
K I , ,  ,6.50E+03,34 148.4861   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,6.50E+03,34 148.0284   , 1/2 ,,,,,,,,,,,,,,
K I ,766.489913, 25r ,3.78E+07,13 042.896027 , 3/2 ,,,,,,,,,,,,,,
K I ,769.896456, 24r ,3.73E+07,12 985.185724 , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
K I , ,  ,8.90E+03,33 972.8148   , 3/2 ,,,,,,,,,,,,,,
K I , ,  ,8.90E+03,33 972.2064   , 1/2 ,,,,,,,,,,,,,,
K I ,774.107, a* , ,34 448.98     , 7/2 ,,,,,,,,,,,,,,
K I ,774.107, a* , ,34 448.98     , 5/2 ,,,,,,,,,,,,,,
