Ion, Observed , Rel. , Aki, Ek ,J
Fe II ,207.03342,8000,1.50E+07,75 600.900  , 7/2 
Fe III ,207.0549,160000,3.36E+08,131 710.73   ,5
Fe II ,207.0555, 290bl(Fe III) , ,114 212.377  , 7/2 
Fe II ,207.06127,600,9.00E+06,103 183.69   , 7/2 
Fe III ,207.0977,14000, ,138 054.60   ,5
 , , , , , 
Fe III ,207.1105,950, ,138 691.80   ,1
Fe II ,207.17907,4000,3.80E+06,66 612.659  , 3/2 
Fe II ,207.1808,4000, ,61 726.069  , 7/2 
Fe III ,207.188,280000, ,135 097.01   ,3
Fe II ,207.1968,270,4.30E+06,110 570.312  , 7/2 
 , , , , , 
Fe I ,207.2059,0, ,60 806.670  ,3
Fe III ,207.2249,3100,1.30E+08,182 685.29   ,2
Fe II ,207.2585, 1800d? ,1.10E+07,84 359.779  , 3/2 
Fe I ,207.2693, 0d? , ,48 231.280  ,5
Fe III ,207.284,940,6.00E+06,182 671.50   ,1
 , , , , , 
Fe II ,207.31341,4000,2.40E+06,62 125.604  , 3/2 
Fe III , ,  ,5.00E-01,49 149.58   ,0
Fe II ,207.3525,400,9.00E+06,98 354.656  , 5/2 
Fe III ,207.3726,3100, ,131 445.12   ,2
Fe II ,207.3875, 400d? ,4.90E+06,98 391.320  , 7/2 
 , , , , , 
Fe II ,207.41886, 6000bl(Fe I) ,2.30E+06,64 040.891  , 7/2 
Fe I ,207.41887, 890bl , ,60 172.464  ,3
Fe III ,207.4232,19000,2.60E+07,138 103.16   ,4
Fe II ,207.51141,2800,2.30E+06,73 603.537  , 11/2 
Fe II ,207.5564, 600d? , ,73 969.761  , 11/2 
 , , , , , 
Fe II ,207.56777,6000,5.40E+06,66 522.310  , 5/2 
Fe III ,207.6328,18000,1.40E+07,138 054.60   ,5
Fe III ,207.6923,1700,4.20E+06,136 796.90   ,3
Fe III ,207.709,2200, ,134 976.04   ,3
Fe II ,207.72358,1100,2.60E+07,98 338.357  , 3/2 
 , , , , , 
Fe I ,207.7348, 0d? , ,48 122.928  ,3
Fe II ,207.7348," 270d,bl(Fe I)? ", ,109 455.629  , 5/2 
Fe I ,207.75029,18, ,60 095.599  ,4
Fe III ,207.7749, 25000* , ,132 785.41   ,4
Fe III ,207.7749, 25000* , ,157 684.17   ,2
 , , , , , 
Fe II ,207.8053, 1800? , ,84 359.779  , 3/2 
