Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Mg IV ,249.5794, 6* , ,846 858.7   , 11/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV ,249.6214,4, ,810 959.5   , 7/2 ,,,,,,,,,,,,,
Mg IV ,249.7171,6, ,810 960.7   , 9/2 ,,,,,,,,,,,,,
Mg IV ,249.8255, 3* , ,846 926.3   , 5/2 ,,,,,,,,,,,,,
Mg IV ,249.8255, 3* , ,846 926.3   , 7/2 ,,,,,,,,,,,,,
Mg IV ,249.8255, 3* , ,846 926.3   , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV ,250.5028, 4bl , ,812 757.0   , 5/2 ,,,,,,,,,,,,,
Mg IV ,250.5757,5, ,812 757.9   , 7/2 ,,,,,,,,,,,,,
Mg IV ,250.6289,4, ,811 016.8   , 5/2 ,,,,,,,,,,,,,
Mg V , ,  ,2.49E+06,942 634     ,0,,,,,,,,,,,,,
Mg IV ,250.8367,5, ,811 018.2   , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV ,250.8802,7, ,812 779.8   , 11/2 ,,,,,,,,,,,,,
Mg VII , ,  ,3.34E-04,40 948     ,2,,,,,,,,,,,,,
Mg VII , ,  ,1.20E+00,40 948     ,2,,,,,,,,,,,,,
Mg IV ,250.9713,7, ,812 778.6   , 9/2 ,,,,,,,,,,,,,
Mg IV ,251.2254, 5bl , ,813 539.9   , 9/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IX , ,  ,6.13E+06,2 280 870     ,1,,,,,,,,,,,,,
Mg IV ,251.2865,5, ,813 540.8   , 7/2 ,,,,,,,,,,,,,
Mg IV ,251.8402, 12bl , ,811 059.2   , 13/2 ,,,,,,,,,,,,,
Mg III ,251.8635,1, ,570 112.8   ,0,,,,,,,,,,,,,
Mg IV ,251.8686,9, ,811 058.9   , 11/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV ,252.2562,7, ,812 859.0   , 9/2 ,,,,,,,,,,,,,
Mg IV ,252.3401,6, ,812 859.2   , 7/2 ,,,,,,,,,,,,,
Mg IV ,252.5595, 3* , ,847 038.2   , 7/2 ,,,,,,,,,,,,,
Mg IV ,252.5595, 3* , ,847 038.2   , 9/2 ,,,,,,,,,,,,,
Mg IV ,252.5595, 3* , ,847 038.2   , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV ,252.8562, 2bl , ,811 097.4   , 3/2 ,,,,,,,,,,,,,
Mg III ,252.919,10,1.89E+07,467 378.5   ,1,,,,,,,,,,,,,
Mg IV ,252.9714, 3bl , ,811 100.9   , 5/2 ,,,,,,,,,,,,,
Mg IV ,253.4785, 4* , ,847 048.2   , 9/2 ,,,,,,,,,,,,,
Mg IV ,253.4785, 4* , ,847 048.2   , 9/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV ,253.4785, 4* , ,847 048.2   , 11/2 ,,,,,,,,,,,,,
Mg V , ,  ,1.82E+06,941 944     ,1,,,,,,,,,,,,,
Mg IX , ,  ,9.62E-07,405 100     ,2,,,,,,,,,,,,,
Mg V , ,  ,5.91E+05,941 944     ,1,,,,,,,,,,,,,
Mg I ,255.325,4, ,61 004.33  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,255.458, 1d , ,61 004.33  ,2,,,,,,,,,,,,,
Mg I ,255.7226,0, ,61 004.33  ,3,,,,,,,,,,,,,
Mg I ,256.0941,0, ,60 886.83  ,1,,,,,,,,,,,,,
Mg I ,256.2259,1, ,60 886.83  ,2,,,,,,,,,,,,,
Mg I ,256.4937,1, ,60 886.83  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,257.0908,0, ,60 735.38  ,1,,,,,,,,,,,,,
Mg I ,257.2248,1, ,60 735.38  ,2,,,,,,,,,,,,,
Mg IV , ,  ,1.98E-01,582 578.4   , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.82E+00,582 562.4   , 5/2 ,,,,,,,,,,,,,
Mg I ,257.4945,2, ,60 735.38  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IX , ,  ,6.49E+07,1 834 690     ,3,,,,,,,,,,,,,
Mg I ,257.7888,0, ,60 650.46  ,1,,,,,,,,,,,,,
Mg I ,258.0587,1, ,60 650.46  ,1,,,,,,,,,,,,,
Mg II , ,  ,8.28E+05,110 207.99  , 3/2 ,,,,,,,,,,,,,
Mg II , ,  ,9.23E+04,110 207.99  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II , ,  ,9.09E+05,110 203.58  , 1/2 ,,,,,,,,,,,,,
Mg I ,258.4216,1, ,60 535.34  ,1,,,,,,,,,,,,,
Mg I ,258.5558,2, ,60 535.34  ,2,,,,,,,,,,,,,
Mg I ,258.8285,3, ,60 535.34  ,3,,,,,,,,,,,,,
Mg I ,259.1891,0, ,60 420.87  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,259.3231,1, ,60 420.87  ,1,,,,,,,,,,,,,
Mg I ,259.5973,2, ,60 420.87  ,1,,,,,,,,,,,,,
Mg I ,260.2495,2, ,60 263.583 ,1,,,,,,,,,,,,,
Mg I ,260.3854,4, ,60 263.583 ,2,,,,,,,,,,,,,
Mg I ,260.6621,5, ,60 263.583 ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg V , ,  ,1.85E+06,940 449     ,2,,,,,,,,,,,,,
Mg I ,261.3357,1, ,60 104.00  ,1,,,,,,,,,,,,,
Mg I ,261.4726,2, ,60 104.00  ,1,,,,,,,,,,,,,
Mg VI , ,  ,3.97E+05,1 287 040     , 5/2 ,,,,,,,,,,,,,
Mg VI , ,  ,2.42E+05,1 287 040     , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,8.51E+05,1 287 040     , 1/2 ,,,,,,,,,,,,,
Mg VI , ,  ,5.96E+05,1 287 040     , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,6.82E+05,1 287 040     , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,9.74E+05,1 287 040     , 5/2 ,,,,,,,,,,,,,
Mg I ,261.7513,3, ,60 104.00  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg III ,261.8011,7,8.72E+07,534 197.7   ,1,,,,,,,,,,,,,
Mg VIII , ,  ,8.45E+05,1 478 690     , 5/2 ,,,,,,,,,,,,,
Mg IX , ,  ,1.68E+07,1 816 730     ,0,,,,,,,,,,,,,
Mg I ,262.8664,3, ,59 881.196 ,1,,,,,,,,,,,,,
Mg VII , ,  ,1.93E-03,40 948     ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VII , ,  ,3.13E+00,40 948     ,2,,,,,,,,,,,,,
Mg I ,263.0053,6, ,59 881.181 ,2,,,,,,,,,,,,,
Mg I ,263.2873,8, ,59 881.168 ,3,,,,,,,,,,,,,
Mg IX , ,  ,1.76E+00,405 100     ,2,,,,,,,,,,,,,
Mg IX , ,  ,3.74E-04,405 100     ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg V , ,  ,3.22E+05,940 449     ,2,,,,,,,,,,,,,
Mg IV , ,  ,6.59E+05,682 472.8   , 3/2 ,,,,,,,,,,,,,
Mg I ,264.4801,2, ,59 649.15  ,1,,,,,,,,,,,,,
Mg I ,264.6206,3, ,59 649.15  ,1,,,,,,,,,,,,,
Mg I ,264.9062,4, ,59 649.15  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VIII , ,  ,1.11E+07,1 478 340     , 3/2 ,,,,,,,,,,,,,
Mg IV , ,  ,8.39E+05,682 472.8   , 3/2 ,,,,,,,,,,,,,
Mg V , ,  ,2.10E+04,940 449     ,2,,,,,,,,,,,,,
