Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Ti II ,221.193719,23, ,76 496.2220 , 9/2 ,,,,,,,,,,,,,,
Ti II ,221.47111,3, ,77 741.1809 , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti V ,221.474,5, ,481 987.7    ,1,,,,,,,,,,,,,,
Ti I ,221.8376, 5bl , ,45 063.941  ,2,,,,,,,,,,,,,,
Ti II ,221.95282,13, ,77 807.7864 , 5/2 ,,,,,,,,,,,,,,
Ti I ,221.97356,5, ,45 206.499  ,3,,,,,,,,,,,,,,
Ti I ,222.14474,9, ,45 001.681  ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti I ,222.31845,8, ,44 966.527  ,1,,,,,,,,,,,,,,
Ti I ,222.51111,10, ,45 097.711  ,4,,,,,,,,,,,,,,
Ti III ,222.559,4, ,83 116.93   ,3,,,,,,,,,,,,,,
Ti I ,222.67851,8, ,45 063.941  ,2,,,,,,,,,,,,,,
Ti II ,222.713878,139, ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,222.88159,18, ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,
Ti II ,222.92391,19, ,53 554.9903 , 5/2 ,,,,,,,,,,,,,,
Ti I ,222.97246,8, ,44 834.642  ,2,,,,,,,,,,,,,,
Ti I ,222.98793,0, ,45 001.681  ,3,,,,,,,,,,,,,,
Ti I ,223.02191,10, ,45 211.603  ,5,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti I ,223.04709,10, ,45 206.499  ,3,,,,,,,,,,,,,,
Ti II ,223.091887,227, ,53 554.9903 , 5/2 ,,,,,,,,,,,,,,
Ti I ,223.38016,9, ,44 922.979  ,3,,,,,,,,,,,,,,
Ti III ,223.69,3, ,83 116.93   ,3,,,,,,,,,,,,,,
Ti III ,223.7773,12,2.40E+08,127 790.57   ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti I ,223.8221,6, ,44 834.642  ,2,,,,,,,,,,,,,,
Ti II ,223.838959,68, ,69 622.3000 , 5/2 ,,,,,,,,,,,,,,
Ti I ,223.8743,10, ,45 040.955  ,4,,,,,,,,,,,,,,
Ti III ,223.962,1, ,128 433.40   ,1,,,,,,,,,,,,,,
Ti II ,224.0573,11, ,75 825.1131 , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti I ,224.4675,7, ,44 922.979  ,3,,,,,,,,,,,,,,
Ti XVI , ,  ,5.40E-02,633 660      , 1/2 ,,,,,,,,,,,,,,
Ti II ,225.006765,670, ,69 622.3000 , 5/2 ,,,,,,,,,,,,,,
Ti XIII , ,  ,2.90E+02,3 753 600      ,1,,,,,,,,,,,,,,
Ti II ,225.326385,360, ,69 327.5102 , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,225.96466,10, ,73 975.618  , 5/2 ,,,,,,,,,,,,,,
Ti II ,226.118976,416, ,59 468.374  , 7/2 ,,,,,,,,,,,,,,
Ti II ,226.16071,11, ,59 468.374  , 7/2 ,,,,,,,,,,,,,,
Ti I ,226.178,1, ,44 369.406  ,4,,,,,,,,,,,,,,
Ti I ,226.4016,12,2.30E+07,44 155.596  ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,226.50981,34, ,69 327.5102 , 3/2 ,,,,,,,,,,,,,,
Ti I ,226.6148,0, ,44 284.231  ,3,,,,,,,,,,,,,,
Ti II ,226.675, 1: , ,52 847.1337 , 7/2 ,,,,,,,,,,,,,,
Ti I ,226.7367,6, ,44 477.256  ,5,,,,,,,,,,,,,,
Ti I ,226.7545,13, ,44 257.098  ,4,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti I ,226.7914,10, ,44 079.761  ,2,,,,,,,,,,,,,,
Ti I ,226.8751,9, ,44 233.620  ,3,,,,,,,,,,,,,,
Ti II ,226.911243,251, ,59 322.173  , 5/2 ,,,,,,,,,,,,,,
Ti I ,227.2612,13, ,44 375.500  ,5,,,,,,,,,,,,,,
Ti I ,227.2773,5, ,44 155.596  ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti I ,227.2927,1, ,44 369.406  ,4,,,,,,,,,,,,,,
Ti I ,227.3279,14, ,43 975.715  ,1,,,,,,,,,,,,,,
Ti II ,227.405, 2: , ,52 705.2416 , 7/2 ,,,,,,,,,,,,,,
Ti II ,227.613, 0: , ,52 630.881  , 5/2 ,,,,,,,,,,,,,,
Ti II ,227.625, 3: , ,44 902.4455 , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti I ,227.6702,14,1.30E+08,44 079.761  ,2,,,,,,,,,,,,,,
Ti II ,227.789, 0: , ,52 630.881  , 5/2 ,,,,,,,,,,,,,,
Ti I ,227.8747,6, ,44 257.098  ,4,,,,,,,,,,,,,,
Ti I ,227.9967,15,9.40E+07,44 233.620  ,3,,,,,,,,,,,,,,
Ti XVI , ,  ,1.40E+03,1 020 500      , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,228.10278,8, ,76 358.7220 , 3/2 ,,,,,,,,,,,,,,
Ti II ,228.162, 0: , ,44 902.4455 , 5/2 ,,,,,,,,,,,,,,
Ti II ,228.21332,14, ,76 407.7595 , 5/2 ,,,,,,,,,,,,,,
