Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al X , ,  ,8.75E+05,1 965 860     ,1,,,,,,,,,,,,,
Al IV ,238.3355,5, ,897 217.6   ,2,,,,,,,,,,,,,
Al V , ,  ,8.94E+06,925 432     , 3/2 ,,,,,,,,,,,,,
Al II ,238.825,1, ,147 288.0   ,1,,,,,,,,,,,,,
Al II ,238.9035,5, ,147 286.65  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,239.0692,25, ,147 287.10  ,3,,,,,,,,,,,,,
Al II ,239.1276,15, ,147 233.45  ,1,,,,,,,,,,,,,
Al II ,239.2078,50, ,147 233.45  ,1,,,,,,,,,,,,,
Al II ,239.2234,10, ,148 709.8   ,0,,,,,,,,,,,,,
Al II ,239.376,100, ,147 233.45  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,239.898, 5d* , ,209 284.53  , 7/2 ,,,,,,,,,,,,,
Al III ,239.898, 5d* , ,209 284.53  , 7/2 ,,,,,,,,,,,,,
Al III ,239.898, 5d* , ,209 284.53  , 9/2 ,,,,,,,,,,,,,
Al X , ,  ,4.44E+06,2 170 190     ,2,,,,,,,,,,,,,
Al XI , ,  ,2.30E+08,3 399 500     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al XI , ,  ,2.56E+08,3 399 500     , 1/2 ,,,,,,,,,,,,,
Al XI , ,  ,2.55E+07,3 399 500     , 3/2 ,,,,,,,,,,,,,
Al X , ,  ,7.27E+06,2 171 680     ,1,,,,,,,,,,,,,
Al III ,242.244, 1* ,8.48E+04,208 881.83  , 5/2 ,,,,,,,,,,,,,
Al III ,242.244, 1* ,1.78E+06,208 881.83  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al III ,242.244, 1* ,1.70E+06,208 881.83  , 5/2 ,,,,,,,,,,,,,
Al I ,242.305,5, ,80 191.9   , 5/2 ,,,,,,,,,,,,,
Al I ,242.477,5, ,80 158.0   , 3/2 ,,,,,,,,,,,,,
Al I ,242.505,1, ,80 158.0   , 3/2 ,,,,,,,,,,,,,
Al II ,242.5596,5, ,148 135.13  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,242.7742,50, ,148 098.6   ,0,,,,,,,,,,,,,
Al VI , ,  ,3.73E-03,41 167     ,2,,,,,,,,,,,,,
Al VI , ,  ,5.01E+00,41 167     ,2,,,,,,,,,,,,,
Al II ,245.2584,30, ,146 188.5   ,1,,,,,,,,,,,,,
Al II ,245.3423,100, ,146 188.5   ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,245.5177,200, ,146 188.9   ,3,,,,,,,,,,,,,
Al V , ,  ,2.91E+06,925 894     , 1/2 ,,,,,,,,,,,,,
Al II ,245.7187,100, ,146 112.14  ,1,,,,,,,,,,,,,
Al II ,245.8037,300, ,146 112.14  ,1,,,,,,,,,,,,,
Al II ,245.888,3, ,150 746.4   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,245.9809,500, ,146 112.14  ,1,,,,,,,,,,,,,
Al I ,245.983,5, ,73 077.8   , 7/2 ,,,,,,,,,,,,,
Al I ,246.574,4, ,72 978.9   , 5/2 ,,,,,,,,,,,,,
Al II ,246.628,3, ,150 624.5   ,3,,,,,,,,,,,,,
Al II ,247.3008,25, ,147 344.89  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,247.5252,1500,4.60E+07,125 869.015 ,1,,,,,,,,,,,,,
Al II ,247.6322,300, ,147 290.98  ,0,,,,,,,,,,,,,
Al V ,247.975,20,2.82E+07,836 937.4   , 3/2 ,,,,,,,,,,,,,
Al V ,248.16,5,2.63E+06,836 937.4   , 3/2 ,,,,,,,,,,,,,
Al V , ,  ,1.42E+07,925 432     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al II ,248.535,5, ,150 313.4   ,3,,,,,,,,,,,,,
Al IV ,249.547,80, ,897 470.3   ,2,,,,,,,,,,,,,
Al IV ,249.714, 200* , ,897 470.3   ,2,,,,,,,,,,,,,
Al IV ,249.714, 200* , ,897 470.3   ,3,,,,,,,,,,,,,
Al II ,249.7886,10, ,150 111.6   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,250.137, 5* , ,897 608.5   ,4,,,,,,,,,,,,,
Al IV ,250.137, 5* , ,897 608.5   ,5,,,,,,,,,,,,,
Al IV ,250.16, 3bl* , ,897 608.5   ,4,,,,,,,,,,,,,
Al IV ,250.16, 3bl* , ,897 608.5   ,5,,,,,,,,,,,,,
Al IX , ,  ,1.06E+07,1 800 910     , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,1.02E+04,1 079 610     ,3,,,,,,,,,,,,,
Al II ,250.425,5, ,150 009.9   ,1,,,,,,,,,,,,,
Al X , ,  ,1.17E+07,2 170 190     ,2,,,,,,,,,,,,,
Al II ,251.3145,20, ,149 868.6   ,3,,,,,,,,,,,,,
Al I ,251.3305,5, ,78 710.26  , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al VI , ,  ,2.15E+02,1 079 456     ,2,,,,,,,,,,,,,
Al IV ,251.43, 200* , ,897 571.0   ,4,,,,,,,,,,,,,
Al IV ,251.43, 200* , ,897 571.0   ,3,,,,,,,,,,,,,
Al IV ,251.548, 100* , ,900 988.4   ,4,,,,,,,,,,,,,
Al IV ,251.548, 100* , ,900 988.4   ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Al IV ,251.548, 100* , ,900 988.4   ,4,,,,,,,,,,,,,
Al IV ,251.587, 400* , ,900 988.4   ,4,,,,,,,,,,,,,
Al IV ,251.587, 400* , ,900 988.4   ,3,,,,,,,,,,,,,
Al IV ,251.587, 400* , ,900 988.4   ,4,,,,,,,,,,,,,
Al IV ,251.587, 400* , ,900 988.4   ,5,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
