Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Na VII , ,  ,8.25E+06,1 103 220       , 1/2 ,,,,,,,,,,,,,,
Na IV , ,  ,1.05E+07,643 052.      ,2,,,,,,,,,,,,,,
Na IV , ,  ,1.42E+06,643 052.      ,2,,,,,,,,,,,,,,
Na IV , ,  ,9.50E+04,643 052.      ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na VII , ,  ,3.21E+05,1 378 300       , 7/2 ,,,,,,,,,,,,,,
Na II ,235.5743,15, , ,  ,,,,,,,,,,,,,,
Na IV , ,  ,8.09E+03,639 007.      ,1,,,,,,,,,,,,,,
Na VI , ,  ,3.06E+07,1 048 100       ,1,,,,,,,,,,,,,,
Na VII , ,  ,4.16E+07,1 474 530?      , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na IV , ,  ,5.50E+05,638 943.      ,2,,,,,,,,,,,,,,
Na VI , ,  ,1.83E+07,1 047 410       ,2,,,,,,,,,,,,,,
Na III , ,  ,3.81E+04,460 746.98    , 1/2 ,,,,,,,,,,,,,,
Na IV , ,  ,1.06E+03,638 825.      ,3,,,,,,,,,,,,,,
Na III ,236.7295,9,1.65E+07,416 909.31    , 1/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,236.851,20, , ,  ,,,,,,,,,,,,,,
Na III , ,  ,4.75E+03,460 746.98    , 1/2 ,,,,,,,,,,,,,,
Na III , ,  ,8.01E+04,460 593.62    , 3/2 ,,,,,,,,,,,,,,
Na VII , ,  ,1.64E+06,1 432 600?      , 3/2 ,,,,,,,,,,,,,,
Na VII , ,  ,1.82E+05,1 432 600?      , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,237.2658,20, , ,  ,,,,,,,,,,,,,,
Na II ,237.3329,25, ,373 787.8     ," 3,4 ",,,,,,,,,,,,,,
Na VII , ,  ,7.77E+05,1 198 290       , 3/2 ,,,,,,,,,,,,,,
Na VII , ,  ,5.17E+04,1 252 010       , 5/2 ,,,,,,,,,,,,,,
Na II ,237.5731,35, ,373 787.8     ," 3,4 ",,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,237.8039,20, , ,  ,,,,,,,,,,,,,,
Na III , ,  ,1.43E+02,460 593.62    , 3/2 ,,,,,,,,,,,,,,
Na II ,237.9218,20, , ,  ,,,,,,,,,,,,,,
Na VII , ,  ,2.90E+05,1 377 820       , 5/2 ,,,,,,,,,,,,,,
Na III , ,  ,2.86E+04,460 409.70    , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na VII , ,  ,2.07E+04,1 377 820       , 5/2 ,,,,,,,,,,,,,,
Na II ,238.2291,25, , ,  ,,,,,,,,,,,,,,
Na II ,238.3918,25, , ,  ,,,,,,,,,,,,,,
Na VII , ,  ,2.01E+07,1 474 530?      , 1/2 ,,,,,,,,,,,,,,
Na II ,238.5609,25, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,238.6289,35, , ,  ,,,,,,,,,,,,,,
Na III ,238.6992,18,3.05E+08,441 055.67    , 7/2 ,,,,,,,,,,,,,,
Na II ,238.7022,350, , ,  ,,,,,,,,,,,,,,
Na II ,238.7817,35, , ,  ,,,,,,,,,,,,,,
Na II ,238.8289,60, ,372 407.6     ,1,,,,,,,,,,,,,,
