Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Ca II ,375.567,20, , ,  ,,,,,,,,,,,,,,
Ca II ,375.839,30, , ,  ,,,,,,,,,,,,,,
Ca III ,376.1608,1200,8.30E+06,272 188.70  ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,381.002,9, ,350 900.04  ,2,,,,,,,,,,,,,,
Ca III ,382.3759,150, ,350 805.32  ,4,,,,,,,,,,,,,,
Ca III ,383.3189,39, ,350 741.19  ,3,,,,,,,,,,,,,,
Ca I ,387.048,9,7.20E+06,46 164.644 ,2,,,,,,,,,,,,,,
Ca I ,387.254,11,5.40E+06,46 164.785 ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I ,387.256,11,9.80E+05,46 164.644 ,2,,,,,,,,,,,,,,
Ca I ,387.578,12,7.90E+06,46 164.971 ,4,,,,,,,,,,,,,,
Ca I ,387.58,12,8.90E+05,46 164.785 ,3,,,,,,,,,,,,,,
Ca I , ,  ,3.50E+04,46 164.644 ,2,,,,,,,,,,,,,,
Ca I ,388.91,6, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I ,392.348,6, , ,  ,,,,,,,,,,,,,,
Ca III ,393.087,90,1.21E+07,350 900.04  ,2,,,,,,,,,,,,,,
Ca II ,393.366,230,1.47E+08,25 414.40  , 3/2 ,,,,,,,,,,,,,,
Ca I ,393.529,9, , ,  ,,,,,,,,,,,,,,
Ca I ,394.604,6, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I ,394.89,15,3.34E+06,40 474.241 ,1,,,,,,,,,,,,,,
Ca III ,394.9604,230, ,350 779.47  ,3,,,,,,,,,,,,,,
Ca I ,395.705,17,9.80E+06,40 474.241 ,1,,,,,,,,,,,,,,
Ca II ,396.847,220,1.40E+08,25 191.51  , 1/2 ,,,,,,,,,,,,,,
Ca I ,397.257,8, , ,  ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca I ,397.371,18,1.75E+07,40 474.241 ,1,,,,,,,,,,,,,,
Ca V , ,  ,4.60E+00,43 836.5   ,0,,,,,,,,,,,,,,
Ca III ,403.8508,160,1.76E+07,347 758.22  ,2,,,,,,,,,,,,,,
Ca III ,407.1362,41,7.70E+06,350 741.19  ,3,,,,,,,,,,,,,,
Ca III ,408.1766,1000,1.80E+06,272 188.70  ,1,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca XIII , ,  ,3.62E-03,24 460     ,1,,,,,,,,,,,,,,
Ca XIII , ,  ,3.17E+02,24 460     ,1,,,,,,,,,,,,,,
Ca I , ,  ,1.10E+07,44 762.620 ,2,,,,,,,,,,,,,,
Ca I , ,  ,1.20E+07,44 762.839 ,3,,,,,,,,,,,,,,
Ca I , ,  ,2.10E+06,44 762.620 ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca II ,409.71,50,9.90E+06,84 933.65  , 3/2 ,,,,,,,,,,,,,,
Ca I ,409.853,15,1.30E+07,44 763.118 ,4,,,,,,,,,,,,,,
Ca I ,409.857,15,1.50E+06,44 762.839 ,3,,,,,,,,,,,,,,
Ca I , ,  ,5.80E+04,44 762.620 ,2,,,,,,,,,,,,,,
Ca I , ,  ,9.00E+07,46 182.399 ,3,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca II ,410.982,60,1.20E+07,84 936.41  , 5/2 ,,,,,,,,,,,,,,
Ca II ,411.028,30,1.90E+06,84 933.65  , 3/2 ,,,,,,,,,,,,,,
Ca III ,413.6247,390,2.80E+08,370 901.88  ,2,,,,,,,,,,,,,,
Ca III ,413.7084,47,2.60E+07,371 061.30  ,3,,,,,,,,,,,,,,
Ca III ,414.7683,30,3.70E+06,347 758.22  ,2,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca III ,415.3565,500,1.31E+08,346 732.19  ,1,,,,,,,,,,,,,,
Ca III ,416.431,430,2.60E+08,370 903.12  ,3,,,,,,,,,,,,,,
Ca III ,417.5652,410,3.70E+07,348 051.86  ,4,,,,,,,,,,,,,,
Ca III ,418.4201,500,1.44E+08,346 896.26  ,2,,,,,,,,,,,,,,
Ca III ,420.4611,70,3.00E+07,371 121.06  ,5,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ca II ,420.618,40,4.30E+06,84 300.89  , 1/2 ,,,,,,,,,,,,,,
Ca III ,420.7235,800,2.03E+08,347 417.05  ,3,,,,,,,,,,,,,,
Ca III ,421.1609,70,3.10E+07,371 120.69  ,4,,,,,,,,,,,,,,
Ca III ,421.3144,400,1.11E+08,346 732.19  ,1,,,,,,,,,,,,,,
Ca II ,422.007,50,8.50E+06,84 300.89  , 1/2 ,,,,,,,,,,,,,,
