Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Si I ,250.69,425,5.47E+07,39 955.053 ,2,,,,,,,,,,,,,
Si I ,251.432,375,7.39E+07,39 760.285 ,1,,,,,,,,,,,,,
Si I ,251.6113,500,1.68E+08,39 955.053 ,2,,,,,,,,,,,,,
Si IV ,251.751,7, , ,  ,,,,,,,,,,,,,
Si I ,251.9202,350,5.49E+07,39 760.285 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,252.4108,425,2.22E+08,39 683.163 ,0,,,,,,,,,,,,,
Si III , ,  ,9.16E+07,243 868.50  ,3,,,,,,,,,,,,,
Si I ,252.8509,450,9.04E+07,39 760.285 ,1,,,,,,,,,,,,,
Si I ,253.2381,110,2.45E+07,54 871.031 ,1,,,,,,,,,,,,,
Si III ,254.182,25,3.22E+07,122 214.52  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VI , ,  ,9.31E+03,1 080 700     , 5/2 ,,,,,,,,,,,,,
Si III ,254.609,10,6.10E+07,205 029.09  ,2,,,,,,,,,,,,,
Si VI , ,  ,2.30E+03,1 080 700     , 5/2 ,,,,,,,,,,,,,
Si III ,255.921,14,1.63E+08,204 828.06  ,3,,,,,,,,,,,,,
Si I , ,  ,4.62E-03,45 321.848 ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si I ,256.3679,30,4.20E-03,45 293.629 ,2,,,,,,,,,,,,,
Si I , ,  ,1.78E-03,45 276.188 ,1,,,,,,,,,,,,,
Si I ,256.8641,85,4.24E+06,54 313.818 ,1,,,,,,,,,,,,,
Si I ,257.7151,45, , ,  ,,,,,,,,,,,,,
Si II , ,  ,1.56E+02,81 251.32  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,1.33E+06,103 885.25  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,2.51E+02,81 191.34  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,1.33E+06,103 860.74  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,2.29E+01,81 251.32  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,9.22E+02,81 191.34  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,4.47E+03,81 251.32  , 3/2 ,,,,,,,,,,,,,
Si I ,263.1282,190,1.06E+08,53 387.334 ,1,,,,,,,,,,,,,
Si III ,264.079,11,1.83E+08,242 885.30  ,1,,,,,,,,,,,,,
Si II , ,  ,8.48E+06,121 590.19  , 3/2 ,,,,,,,,,,,,,
Si III ,265.551,14,1.35E+08,242 474.27  ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,3.36E+07,121 444.12  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,4.17E+07,121 590.19  , 3/2 ,,,,,,,,,,,,,
Si VI , ,  ,3.54E+03,1 078 935     , 7/2 ,,,,,,,,,,,,,
Si II , ,  ,1.65E+07,121 444.12  , 1/2 ,,,,,,,,,,,,,
Si IV ,267.219,1,2.49E+06,313 914.92  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV , ,  ,1.30E+06,291 497.60  , 5/2 ,,,,,,,,,,,,,
Si IV ,267.512,4,2.74E+07,291 497.50  , 3/2 ,,,,,,,,,,,,,
Si IV ,267.525,4,2.61E+07,291 497.60  , 5/2 ,,,,,,,,,,,,,
Si IV ,267.757,1,4.51E+05,313 914.92  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,1.77E+07,118 522.86  , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,268.221, 10w ,3.49E+06,118 522.86  , 3/2 ,,,,,,,,,,,,,
Si XI , ,  ,2.55E+07,2 549 470     ,3,,,,,,,,,,,,,
Si XI , ,  ,1.89E+07,2 547 100     ,2,,,,,,,,,,,,,
Si III , ,  ,2.99E+02,159 069.61  ,0,,,,,,,,,,,,,
Si V , ,  ,5.50E+08,1 164 645     ,4,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,1.56E+07,117 914.80  , 1/2 ,,,,,,,,,,,,,
Si VIII , ,  ,1.66E-01,105 890     , 3/2 ,,,,,,,,,,,,,
Si VIII , ,  ,2.10E+01,105 890     , 3/2 ,,,,,,,,,,,,,
Si IV , ,  ,1.03E+08,328 200.04  , 5/2 ,,,,,,,,,,,,,
Si IV ,272.381, 3w* ,1.10E+08,328 200.04  , 7/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si IV ,272.381, 3w* ,7.34E+06,328 200.04  , 5/2 ,,,,,,,,,,,,,
Si II , ,  ,3.17E+07,117 914.80  , 1/2 ,,,,,,,,,,,,,
Si II , ,  ,1.30E+00,79 355.02  , 5/2 ,,,,,,,,,,,,,
Si II , ,  ,1.28E+00,79 338.50  , 3/2 ,,,,,,,,,,,,,
Si VIII , ,  ,3.97E-01,105 890     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si VIII , ,  ,1.17E+01,105 890     , 3/2 ,,,,,,,,,,,,,
Si VII , ,  ,1.18E+06,1 502 880     ,1,,,,,,,,,,,,,
Si VIII , ,  ,3.30E-01,105 348     , 1/2 ,,,,,,,,,,,,,
Si VIII , ,  ,1.26E+01,105 348     , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,6.16E+06,250 636.55  ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,6.25E-03,165 765.00  ,2,,,,,,,,,,,,,
Si VIII , ,  ,2.14E-01,105 348     , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,4.56E-03,165 765.00  ,2,,,,,,,,,,,,,
Si III , ,  ,1.06E-04,165 765.00  ,2,,,,,,,,,,,,,
Si III , ,  ,1.01E-05,201 599.48  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,2.90E-05,201 599.48  ,3,,,,,,,,,,,,,
Si III , ,  ,7.37E-06,201 598.28  ,2,,,,,,,,,,,,,
Si III , ,  ,3.38E-04,201 598.28  ,2,,,,,,,,,,,,,
Si III , ,  ,6.62E-05,201 597.73  ,1,,,,,,,,,,,,,
Si III , ,  ,1.43E-05,201 597.73  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,8.21E+05,240 549.77  ,2,,,,,,,,,,,,,
